text,category,date
"Уважаемая администрация! Прошу отремонтировать дорогу на улице Ленина. Ямы на проезжей части создают аварийные ситуации. С уважением, Иванов И.И.",Дороги и благоустройство,2025-01-01
Здравствуйте! В нашем доме №15 по улице Садовой уже неделю нет горячей воды. Прошу принять меры. Жители дома.,Прочие вопросы,2025-01-02
Обращаю внимание на несанкционированную свалку мусора во дворе дома №7 по улице Мира. Прошу вывезти мусор и установить контейнеры.,ЖКХ и мусор,2025-01-03
"Уважаемые сотрудники! Прошу установить светофор на перекрестке улиц Пушкина и Лермонтова. Аварийность высокая. С уважением, Петров.",ЖКХ и освещение,2025-01-04
Здравствуйте! В подъезде дома №23 по улице Гагарина разбито окно. Прошу направить бригаду для замены стекла.,ЖКХ и ремонт дома,2025-01-05
"Уважаемая администрация! Обращаюсь с просьбой организовать парковку для жителей дома №8 по улице Чехова. Машин много, мест не хватает.",Благоустройство,2025-01-06
Добрый день! В сквере на улице Победы сломаны скамейки и освещение не работает. Прошу восстановить благоустройство.,ЖКХ и освещение,2025-01-07
"Здравствуйте! В нашем дворе по улице Лермонтова, 45 не вывозят мусор уже третью неделю. Прошу разобраться.",ЖКХ и мусор,2025-01-08
Уважаемые чиновники! Прошу отремонтировать детскую площадку во дворе дома №12 по улице Солнечной. Карусели и качели сломаны.,Благоустройство,2025-01-09
Обращение к главе администрации! Прошу рассмотреть вопрос о строительстве тротуара на улице Школьной. Дети идут по проезжей части.,Дороги и благоустройство,2025-01-10
Здравствуйте! В подъезде дома №3 по улице Цветочной не работает лифт. Жители с детьми не могут подняться на 9 этаж.,ЖКХ и ремонт дома,2025-01-11
Уважаемая администрация! Обращаюсь по поводу ям на дороге по улице Садовой. Прошу провести ямочный ремонт.,Дороги и благоустройство,2025-01-12
Добрый день! В парке Победы сломаны фонари уличного освещения. Прошу восстановить освещение до наступления темноты.,ЖКХ и освещение,2025-01-13
"Здравствуйте! Прошу установить знак пешеходного перехода на улице Школьной, возле школы №15. Дети переходят в опасном месте.",Прочие вопросы,2025-01-14
Уважаемые сотрудники! В нашем районе нет аптеки. Прошу рассмотреть вопрос об открытии аптечного пункта на улице Дружбы.,Прочие вопросы,2025-01-15
"Обращаю внимание на состояние дорожного покрытия на улице Космонавтов. Ямы и выбоины требуют ремонта. С уважением, Сидоров.",Прочие вопросы,2025-01-16
Здравствуйте! Прошу вырубить аварийные деревья во дворе дома №9 по улице Лесной. Ветви угрожают безопасности жителей.,Прочие вопросы,2025-01-17
Уважаемая администрация! В нашем доме №21 по улице Речной течет крыша. Прошу провести ремонт кровли.,ЖКХ и коммунальные услуги,2025-01-18
Добрый день! Обращаюсь по вопросу бродячих собак во дворе дома №5 по улице Строителей. Прошу принять меры.,Прочие вопросы,2025-01-19
Здравствуйте! Прошу установить дополнительный мусорный контейнер у дома №17 по улице Заречной. Контейнер переполнен.,ЖКХ и мусор,2025-01-20
Уважаемые сотрудники! В подъезде дома №11 по улице Весенней отсутствует освещение. Прошу восстановить свет.,ЖКХ и освещение,2025-01-21
"Обращаюсь с просьбой отремонтировать тротуар на улице Мира. Плитка разбита, люди спотыкаются. С уважением, Кузнецова.",Дороги и благоустройство,2025-01-22
Здравствуйте! Прошу организовать вывоз снега с улицы Зимней. Сугробы затрудняют проезд и проход.,Прочие вопросы,2025-01-23
Уважаемая администрация! В нашем дворе по улице Летней нет скамеек для отдыха. Прошу установить.,Прочие вопросы,2025-01-24
Добрый день! Обращаю внимание на разбитое остекление в подъезде дома №6 по улице Осенней. Прошу заменить стекла.,ЖКХ и ремонт дома,2025-01-25
Здравствуйте! Прошу провести санитарную обрезку деревьев во дворе дома №4 по улице Весенней. Ветки касаются проводов.,Прочие вопросы,2025-01-26
Уважаемые сотрудники! В нашем районе нет остановки общественного транспорта. Прошу рассмотреть возможность ее установки.,Прочие вопросы,2025-01-27
Обращение к главе! Прошу отремонтировать спортивную площадку на улице Спортивной. Турники и брусья сломаны.,Благоустройство,2025-01-28
Здравствуйте! Прошу установить лежачие полицейские на улице Школьной для снижения скорости автомобилей.,Прочие вопросы,2025-01-29
Уважаемая администрация! В подъезде дома №14 по улице Северной разбита входная дверь. Прошу заменить.,ЖКХ и ремонт дома,2025-01-30
Добрый день! Прошу отремонтировать фонари уличного освещения на улице Южной. Три фонаря не работают.,ЖКХ и освещение,2025-01-31
Здравствуйте! В нашем дворе по улице Восточной отсутствует детская площадка. Прошу установить игровой комплекс.,Благоустройство,2025-02-01
Уважаемые сотрудники! Обращаюсь по вопросу парковки во дворе дома №2 по улице Западной. Машины паркуются на газоне.,Благоустройство,2025-02-02
Прошу установить дорожные знаки на улице Центральной. Водители превышают скорость.,Прочие вопросы,2025-02-03
Здравствуйте! В доме №10 по улице Северной протекает кровля. Прошу провести ремонт.,Прочие вопросы,2025-02-04
Уважаемая администрация! Прошу благоустроить придомовую территорию дома №18 по улице Южной.,Прочие вопросы,2025-02-05
Добрый день! Обращаюсь по поводу ям на дороге к школе №5. Прошу отремонтировать.,Дороги и благоустройство,2025-02-06
Здравствуйте! Прошу установить контейнеры для раздельного сбора мусора во дворе дома №7.,ЖКХ и мусор,2025-02-07
Уважаемые сотрудники! В сквере на улице Мира сломаны светильники. Прошу восстановить освещение.,ЖКХ и освещение,2025-02-08
Прошу провести ямочный ремонт дороги на улице Садовой в районе дома №12.,Дороги и благоустройство,2025-02-09
